Name,Bank.Online,Age,Years.Education,Family.Status
Adams ,yes ,28,16,single-never-married
Butler ,yes ,31,19,married-with-children
Danielson ,no ,22,12,single-never-married
Fitzgerald ,yes ,26,17,single-never-married
Johnson ,no ,23,14,married-without-children
Martinez ,yes ,27,18,married-with-children
Park ,yes ,24,16,single-never-married
Shah ,yes ,28,17,married-with-children
Smith ,no ,21,10,single-never-married
Taylor ,yes ,30,19,married-without-children
Instructor ,yes ,41,20,married-with-children
